Input Size,Monoalphabetic,Hill Cipher,Playfair,Transposition
100,1.4979997649788856e-05,4.070000140927732e-05,9.897999698296189e-05,2.1980004385113715e-05
500,0.00010656000231392681,0.0001746600028127432,0.0005640199990011752,0.00011081999982707203
1000,0.0002460600051563233,0.00036322000087238846,0.0015310799994040281,0.00039203999913297596
5000,0.0009135800006333739,0.0017652599955908955,0.006726320000598207,0.0016674599959515036
10000,0.002307900000596419,0.004214219999266788,0.01374735999852419,0.0028018000011797994
50000,0.008292000001529232,0.01760283999610692,0.07475622000056319,0.016485300002386793
100000,0.032590960001107304,0.04458627999993041,0.14348421999602579,0.03466932000010274
