Input Type,Original Size (bytes),AES Encryption Latency (s),AES Decryption Latency (s),AES Encryption Throughput (MB/s),AES Decryption Throughput (MB/s),AES Encryption Memory (MB),AES Decryption Memory (MB),AES Encryption CPU (%),AES Decryption CPU (%),AES Encrypted Size (bytes),AES Overhead (%),DES Encryption Latency (s),DES Decryption Latency (s),DES Encryption Throughput (MB/s),DES Decryption Throughput (MB/s),DES Encryption Memory (MB),DES Decryption Memory (MB),DES Encryption CPU (%),DES Decryption CPU (%),DES Encrypted Size (bytes),DES Overhead (%)
Text,110,0.002523739999742247,4.0920000174082816e-05,0.04156695016737125,2.5636406245943726,0.006932640075683593,0.00196990966796875,24.96,0.0,112,1.8181818181818181,4.1320003219880164e-05,3.6740003270097074e-05,2.538823006533922,2.855312070428412,0.00186614990234375,0.00150299072265625,0.0,0.0,112,1.8181818181818181
Image,2498098,0.0056636799970874565,0.005584120002458804,420.6402734072111,426.63336414991306,4.766620826721192,4.76584415435791,105.82000000000001,0.0,2498112,0.0005604263723841098,0.035127000001375565,0.03490868000080809,67.82167285485602,68.24583176478376,4.766388893127441,4.765801429748535,0.0,0.0,2498104,0.00024018273102176135
Audio,1048558,0.0019419599993852898,0.002697259999695234,514.9348257321677,370.74024527679705,2.0015649795532227,2.0009286880493162,0.0,0.0,1048560,0.0001907381375183824,0.015978139999788254,0.014182340001570991,62.58443309894372,70.50901570203052,2.000901222229004,2.000901222229004,0.0,0.0,1048560,0.0001907381375183824
